Peak_0.85V,Mean,Std_Dev,Energy,Skewness,Kurtosis,DCT_1,DCT_2,DCT_3,DCT_4,DCT_5
13.645225957403026,16.914008375419826,1.6085476903246296,1069526.444009516,-0.7408969622028543,0.4950808783309286,50.05965295153039,-34.62398563596627,0.07921631898380824,-32.423657611706226,-15.282642189826205
12.186619075210245,15.324847651329051,1.576573919444372,879331.8838859953,-0.5572191598543987,0.36488994830933885,55.881855005950925,-29.475955721542405,-5.8420740333973376,-31.704747106647474,-15.850820394376262
11.366931558097285,14.259487616794807,1.4957940657144104,761638.2837629409,-0.2692962271094641,0.32199114189797573,60.44274089632675,-15.657374041592274,-11.008722333362424,-28.183815675835078,-18.03825780330967
10.971234292611086,13.437803661318378,1.4579173744327745,676903.8346015682,0.028690748988025296,0.11781864799991038,63.40101905279212,-5.0916065121476635,-14.421503022856871,-25.890166731782756,-19.181014375711946
20.65301360009014,24.139496321806448,1.8165234156300076,2171185.7231630944,-0.8126718509331541,0.9376740024822157,51.75930117002444,-25.600012331882738,9.647772611191503,-34.40769823360762,-22.10343028815415
18.674776465083845,21.974480785786444,1.651836948982627,1799171.6049659657,-0.8266448951180202,0.9847469806332678,47.345499744720314,-23.1500836337557,9.00396424414252,-31.667466786546754,-20.151101973170142
17.08854616078427,20.276277046780635,1.5200233236661147,1531787.3520033925,-0.8161508981477018,0.9104449595131725,43.746035321250645,-21.489690552838166,7.994101176383012,-28.964302210985174,-18.245482706044605
14.973703680229798,18.139258489298122,1.4789163884360776,1227169.7006956951,-0.8042263523940295,0.7795021785029386,43.59514231696521,-25.70847454549139,4.688937151603572,-28.744970438612963,-16.60568546197147
13.247529974867982,16.497217031203682,1.647301180537142,1018399.9113847034,-0.7212007628433409,0.44538487139198146,51.55232919335959,-37.85719625496103,-1.5610693793756367,-33.464353435160206,-15.168303867183052
12.156373227616642,15.208719783428625,1.5672864949806335,866086.5220323883,-0.5363435390446218,0.4185222555995449,56.714849746335005,-27.68592998480647,-6.8335972400502385,-31.02116001153,-16.122285232560294
11.524531416825852,14.221142054471786,1.4890790134034115,757517.7704622187,-0.26574255355850546,0.2920091276730874,60.02947085050613,-15.393494151215783,-11.138280021143835,-28.112684966862794,-18.105836096879074
